,Union Fraction,Accuracy (weight),Accuracy (tfidf),Accuracy (Random)
0,baseline,0.839,0.839,0.839
1,0.05,0.8275,0.8025,0.832
2,0.1,0.8015,0.7765,0.807
3,0.2,0.822,0.743,0.7975
4,0.3,0.8345,0.721,0.795
